"","N_iter","ARI","Frobenius_norm","K_diff","Simulation","Inference","N_seeds","Model"
"108",100,0.994358445919113,84,-1,13,"Consensus",10,"Consensus (100, 10)"
"109",1000,1,46.8,0,13,"Consensus",10,"Consensus (1000, 10)"
"110",10000,1,62.4,0,13,"Consensus",10,"Consensus (10000, 10)"
"111",1,0.849714637674724,5539.73333333333,-12,13,"Consensus",30,"Consensus (1, 30)"
"112",10,0.994358445919113,690.000000000001,-1,13,"Consensus",30,"Consensus (10, 30)"
"113",100,0.994358445919113,74.2,-1,13,"Consensus",30,"Consensus (100, 30)"
"114",1000,1,70.8666666666667,0,13,"Consensus",30,"Consensus (1000, 30)"
"115",10000,0.987824481452101,91.3333333333334,0,13,"Consensus",30,"Consensus (10000, 30)"
"116",1,0.856183117739539,5471.48,-12,13,"Consensus",50,"Consensus (1, 50)"
"117",10,0.994358445919113,655.6,-1,13,"Consensus",50,"Consensus (10, 50)"
"118",100,1,69.24,0,13,"Consensus",50,"Consensus (100, 50)"
"119",1000,1,62,0,13,"Consensus",50,"Consensus (1000, 50)"
"120",10000,0.994358445919113,81.16,-1,13,"Consensus",50,"Consensus (10000, 50)"
"121",1,0.866437853102892,5470.72,-11,13,"Consensus",100,"Consensus (1, 100)"
"122",10,0.994358445919113,713.380000000001,-1,13,"Consensus",100,"Consensus (10, 100)"
"123",100,0.994358445919113,78.16,-1,13,"Consensus",100,"Consensus (100, 100)"
"124",1000,1,65.52,0,13,"Consensus",100,"Consensus (1000, 100)"
"125",10000,0.994358445919113,78.98,-1,13,"Consensus",100,"Consensus (10000, 100)"
"126",1,0.50040192926045,5632,-20,14,"Consensus",1,"Consensus (1, 1)"
"127",10,0.985745961355717,180,-1,14,"Consensus",1,"Consensus (10, 1)"
"128",100,0.993061687902107,88,-1,14,"Consensus",1,"Consensus (100, 1)"
"129",1000,1,0,0,14,"Consensus",1,"Consensus (1000, 1)"
"130",10000,1,0,0,14,"Consensus",1,"Consensus (10000, 1)"
"131",1,0.748617486536307,5155.6,-20,14,"Consensus",10,"Consensus (1, 10)"
"132",10,1,291.6,0,14,"Consensus",10,"Consensus (10, 10)"
"133",100,1,17.6,0,14,"Consensus",10,"Consensus (100, 10)"
"134",1000,1,0,0,14,"Consensus",10,"Consensus (1000, 10)"
"135",10000,1,17.6,0,14,"Consensus",10,"Consensus (10000, 10)"
"136",1,0.746535441618121,5270.8,-19,14,"Consensus",30,"Consensus (1, 30)"
"137",10,1,298.266666666667,0,14,"Consensus",30,"Consensus (10, 30)"
"138",100,1,5.86666666666668,0,14,"Consensus",30,"Consensus (100, 30)"
"139",1000,1,5.86666666666668,0,14,"Consensus",30,"Consensus (1000, 30)"
"140",10000,1,14.8,0,14,"Consensus",30,"Consensus (10000, 30)"
"141",1,0.806897035116002,5314.24,-15,14,"Consensus",50,"Consensus (1, 50)"
"142",10,1,411.28,0,14,"Consensus",50,"Consensus (10, 50)"
"143",100,1,10.08,0,14,"Consensus",50,"Consensus (100, 50)"
"144",1000,1,8.8,0,14,"Consensus",50,"Consensus (1000, 50)"
"145",10000,1,13.68,0,14,"Consensus",50,"Consensus (10000, 50)"
"146",1,0.852483675771769,5241.48,-14,14,"Consensus",100,"Consensus (1, 100)"
"147",10,1,426.900000000001,0,14,"Consensus",100,"Consensus (10, 100)"
"148",100,1,12.54,0,14,"Consensus",100,"Consensus (100, 100)"
"149",1000,1,12.9,0,14,"Consensus",100,"Consensus (1000, 100)"
"150",10000,1,14.48,0,14,"Consensus",100,"Consensus (10000, 100)"
"151",1,0.522589298454221,5178,-20,15,"Consensus",1,"Consensus (1, 1)"
"152",10,1,0,0,15,"Consensus",1,"Consensus (10, 1)"
"153",100,0.993658633738299,80,-1,15,"Consensus",1,"Consensus (100, 1)"
"154",1000,0.987428932406823,158,-2,15,"Consensus",1,"Consensus (1000, 1)"
"155",10000,0.993658633738299,80,-1,15,"Consensus",1,"Consensus (10000, 1)"
"156",1,0.737977451692042,5287.6,-20,15,"Consensus",10,"Consensus (1, 10)"
"157",10,0.993658633738299,398,-1,15,"Consensus",10,"Consensus (10, 10)"
"158",100,0.993658633738299,64.6,-1,15,"Consensus",10,"Consensus (100, 10)"
"159",1000,0.993658633738299,71.6,-1,15,"Consensus",10,"Consensus (1000, 10)"
"160",10000,0.993658633738299,113.8,-1,15,"Consensus",10,"Consensus (10000, 10)"
"161",1,0.772036614098594,5472.33333333333,-20,15,"Consensus",30,"Consensus (1, 30)"
"162",10,0.993658633738299,450.200000000001,-1,15,"Consensus",30,"Consensus (10, 30)"
"163",100,0.993658633738299,58.6666666666667,-1,15,"Consensus",30,"Consensus (100, 30)"
"164",1000,0.993658633738299,58.4,-1,15,"Consensus",30,"Consensus (1000, 30)"
"165",10000,0.993658633738299,67.1333333333334,-1,15,"Consensus",30,"Consensus (10000, 30)"
"166",1,0.804173136818194,5397.96,-17,15,"Consensus",50,"Consensus (1, 50)"
"167",10,0.993658633738299,414.4,-1,15,"Consensus",50,"Consensus (10, 50)"
"168",100,0.993658633738299,54.48,-1,15,"Consensus",50,"Consensus (100, 50)"
"169",1000,0.993658633738299,55.8,-1,15,"Consensus",50,"Consensus (1000, 50)"
