"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"81","K46
(11)","CC","GO:0005876","spindle microtubule",0.181818181818182,"10/550",0.0150115295253228,0.0468888952681782,0.0302033732285201,"850734/854889",2,"K46 (11)","Consensus clustering",NA,"Consensus Clustering",46,"ALL"
"82","K49
(20)","CC","GO:0000794","condensed nuclear chromosome",0.35,"36/550",0.000119113335225845,0.00603149242682218,0.00390006277223088,"853010/850995/854827/852180/851533/851708/851925",7,"K49 (20)","Consensus clustering",NA,"Consensus Clustering",49,"ALL"
"83","K49
(20)","CC","GO:0000793","condensed chromosome",0.35,"38/550",0.000172328355052062,0.00603149242682218,0.00390006277223088,"853010/850995/854827/852180/851533/851708/851925",7,"K49 (20)","Consensus clustering",NA,"Consensus Clustering",49,"ALL"
"84","K49
(20)","CC","GO:0099080","supramolecular complex",0.3,"43/550",0.00272119556298422,0.0299203024639684,0.0193469624954984,"853010/854827/853539/851533/851708/852248",6,"K49 (20)","Consensus clustering",NA,"Consensus Clustering",49,"ALL"
"85","K49
(20)","CC","GO:0000228","nuclear chromosome",0.45,"94/550",0.00281485948967624,0.0299203024639684,0.0193469624954984,"853010/850995/854827/852180/851533/851708/851813/852248/851925",9,"K49 (20)","Consensus clustering",NA,"Consensus Clustering",49,"ALL"
"86","K49
(20)","CC","GO:0005876","spindle microtubule",0.15,"10/550",0.00420588966417562,0.0299203024639684,0.0193469624954984,"853010/853539/851708",3,"K49 (20)","Consensus clustering",NA,"Consensus Clustering",49,"ALL"
"87","K54
(15)","BP","GO:0051785","positive regulation of nuclear division",0.266666666666667,"10/549",6.94260735709985e-05,0.0202029874091606,0.0178315388961301,"855013/856236/852762/856557",4,"K54 (15)","Consensus clustering",NA,"Consensus Clustering",54,"ALL"
"88","K60
(16)","BP","GO:0042254","ribosome biogenesis",0.75,"22/549",7.91754196821783e-16,1.01344537193188e-13,8.41759725042107e-14,"854221/852569/853784/851497/853956/856553/855408/850982/854021/851208/851403/851656",12,"K60 (16)","Consensus clustering",NA,"Consensus Clustering",60,"ALL"
"89","K60
(16)","BP","GO:0022613","ribonucleoprotein complex biogenesis",0.75,"23/549",1.64390795083064e-15,1.05210108853161e-13,8.73866858073129e-14,"854221/852569/853784/851497/853956/856553/855408/850982/854021/851208/851403/851656",12,"K60 (16)","Consensus clustering",NA,"Consensus Clustering",60,"ALL"
"90","K60
(16)","BP","GO:0034470","ncRNA processing",0.6875,"22/549",9.06087598693566e-14,3.86597375442588e-12,3.21104727958071e-12,"854221/853996/853784/853956/856553/855408/850982/854021/851208/851403/851656",11,"K60 (16)","Consensus clustering",NA,"Consensus Clustering",60,"ALL"
"91","K60
(16)","BP","GO:0006364","rRNA processing",0.625,"17/549",2.29705140624721e-13,5.88045159999286e-12,4.88425667433618e-12,"854221/853784/853956/856553/855408/850982/854021/851208/851403/851656",10,"K60 (16)","Consensus clustering",NA,"Consensus Clustering",60,"ALL"
"92","K60
(16)","BP","GO:0016072","rRNA metabolic process",0.625,"17/549",2.29705140624721e-13,5.88045159999286e-12,4.88425667433618e-12,"854221/853784/853956/856553/855408/850982/854021/851208/851403/851656",10,"K60 (16)","Consensus clustering",NA,"Consensus Clustering",60,"ALL"
"93","K60
(16)","CC","GO:0030684","preribosome",0.5625,"16/550",1.01425407717165e-11,2.53563519292913e-10,1.4946902189898e-10,"854221/852569/853956/850689/856553/855408/851208/851403/851656",9,"K60 (16)","Consensus clustering",NA,"Consensus Clustering",60,"ALL"
"94","K60
(16)","CC","GO:1990904","ribonucleoprotein complex",0.5625,"20/550",1.42004960422694e-10,1.77506200528367e-09,1.04635233995669e-09,"854221/852569/853956/850689/856553/855408/851208/851403/851656",9,"K60 (16)","Consensus clustering",NA,"Consensus Clustering",60,"ALL"
"95","K60
(16)","CC","GO:0005730","nucleolus",0.625,"31/550",4.44827447881699e-10,3.70689539901416e-09,2.18511728783992e-09,"854221/853784/853956/856553/855408/850982/854021/851208/851403/851656",10,"K60 (16)","Consensus clustering",NA,"Consensus Clustering",60,"ALL"
"96","K66
(2)","BP","GO:0006811","ion transport",1,"12/549",0.000438753938813769,0.0329065454110327,0.0309436988426553,"856272/851597",2,"K66 (2)","Consensus clustering",NA,"Consensus Clustering",66,"ALL"
"97","K67
(5)","BP","GO:0042254","ribosome biogenesis",0.6,"22/549",0.000532556040481852,0.0393911190592988,0.0385714752110637,"851240/850551/855613",3,"K67 (5)","Consensus clustering",NA,"Consensus Clustering",67,"ALL"
"98","K67
(5)","BP","GO:0022613","ribonucleoprotein complex biogenesis",0.6,"23/549",0.000610715024175175,0.0393911190592988,0.0385714752110637,"851240/850551/855613",3,"K67 (5)","Consensus clustering",NA,"Consensus Clustering",67,"ALL"
"99","K67
(5)","CC","GO:0030684","preribosome",0.6,"16/550",0.000195884439397032,0.00391768878794064,0.00247432976080462,"851240/850551/855613",3,"K67 (5)","Consensus clustering",NA,"Consensus Clustering",67,"ALL"
"100","K67
(5)","CC","GO:1990904","ribonucleoprotein complex",0.6,"20/550",0.000394326844189126,0.00394326844189126,0.00249048533172079,"851240/850551/855613",3,"K67 (5)","Consensus clustering",NA,"Consensus Clustering",67,"ALL"
"101","K67
(5)","CC","GO:0005730","nucleolus",0.6,"31/550",0.00150724298497821,0.00603324948371488,0.00381047335813571,"851240/850551/855613",3,"K67 (5)","Consensus clustering",NA,"Consensus Clustering",67,"ALL"
"102","K68
(5)","BP","GO:0006348","chromatin silencing at telomere",0.6,"21/549",0.00046123173847946,0.037016322763308,0.0255206411172083,"851772/856680/850980",3,"K68 (5)","Consensus clustering",NA,"Consensus Clustering",68,"ALL"
