"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"97","K67
(5)","GO:0031974","membrane-enclosed lumen",1,"157/550",0.00180997484511446,0.00603324948371488,0.00381047335813571,"851240/850551/855613/851903/852104",5,"K67 (5)","Consensus clustering",NA,"Consensus Clustering",67,"CC"
"98","K67
(5)","GO:0043233","organelle lumen",1,"157/550",0.00180997484511446,0.00603324948371488,0.00381047335813571,"851240/850551/855613/851903/852104",5,"K67 (5)","Consensus clustering",NA,"Consensus Clustering",67,"CC"
"99","K67
(5)","GO:0031981","nuclear lumen",0.8,"142/550",0.0171716728933648,0.0490619225524708,0.0309864774015605,"851240/850551/855613/851903",4,"K67 (5)","Consensus clustering",NA,"Consensus Clustering",67,"CC"
"100","K68
(5)","GO:0000781","chromosome, telomeric region",0.6,"32/550",0.00165843503115194,0.0398024407476467,0.0296772584521927,"851772/856680/850980",3,"K68 (5)","Consensus clustering",NA,"Consensus Clustering",68,"CC"
"101","K1
(16)","GO:0005933","cellular bud",0.5625,"73/550",4.24577816345015e-05,0.00271729802460809,0.00250277449634956,"855646/855389/855804/854437/850891/851440/853650/855945/851375",9,"K1 (16)","Bayesian",1,"Bayesian: chain 1",1,"CC"
"102","K1
(16)","GO:0005935","cellular bud neck",0.4375,"57/550",0.000488257510461637,0.0125906310116631,0.0115966338265318,"855646/855804/854437/850891/851440/855945/851375",7,"K1 (16)","Bayesian",1,"Bayesian: chain 1",1,"CC"
"103","K1
(16)","GO:0005618","cell wall",0.3125,"30/550",0.000983643047786178,0.0125906310116631,0.0115966338265318,"853692/855389/855804/850891/853693",5,"K1 (16)","Bayesian",1,"Bayesian: chain 1",1,"CC"
"104","K1
(16)","GO:0009277","fungal-type cell wall",0.3125,"30/550",0.000983643047786178,0.0125906310116631,0.0115966338265318,"853692/855389/855804/850891/853693",5,"K1 (16)","Bayesian",1,"Bayesian: chain 1",1,"CC"
"105","K1
(16)","GO:0030312","external encapsulating structure",0.3125,"30/550",0.000983643047786178,0.0125906310116631,0.0115966338265318,"853692/855389/855804/850891/853693",5,"K1 (16)","Bayesian",1,"Bayesian: chain 1",1,"CC"
"106","K2
(86)","GO:0071944","cell periphery",0.430232558139535,"111/550",9.04371772310482e-08,8.68196901418063e-06,6.75898903516255e-06,"851625/855529/855293/851904/852856/852932/853367/855023/850992/853136/856546/853102/854666/853760/850731/855940/856854/856191/855352/851055/852897/855438/856458/852459/853766/856729/854953/852382/851067/856279/856049/856272/851597/853045/854214/853671/853281",37,"K2 (86)","Bayesian",1,"Bayesian: chain 1",2,"CC"
