"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"80","K15
(21)","GO:0016779","nucleotidyltransferase activity",0.19047619047619,"10/546",0.000294586838990714,0.0062845192318019,0.00516819015773183,"853500/852245/856305/855621",4,"K15 (21)","Bayesian",2,"Bayesian: chain 2",15,"MF"
"81","K15
(21)","GO:0140097","catalytic activity, acting on DNA",0.285714285714286,"30/546",0.000501080633825046,0.00801729014120074,0.00659316623454008,"853500/852245/856305/850793/855621/853747",6,"K15 (21)","Bayesian",2,"Bayesian: chain 2",15,"MF"
"82","K15
(21)","GO:0003690","double-stranded DNA binding",0.333333333333333,"44/546",0.000675691053420834,0.00864884548378668,0.00711253740442983,"856305/851671/851266/850793/855950/854063/855404",7,"K15 (21)","Bayesian",2,"Bayesian: chain 2",15,"MF"
"83","K15
(21)","GO:0003676","nucleic acid binding",0.523809523809524,"119/546",0.00165215018590808,0.0151053731283024,0.0124221818489329,"851399/852245/856305/851671/851266/850793/855621/855950/852385/854063/855404",11,"K15 (21)","Bayesian",2,"Bayesian: chain 2",15,"MF"
"84","K22
(12)","GO:0046982","protein heterodimerization activity",0.583333333333333,"12/546",2.18047454383698e-10,7.19556599466203e-09,5.73809090483416e-09,"852284/851811/852295/851810/852283/852294/854150",7,"K22 (12)","Bayesian",2,"Bayesian: chain 2",22,"MF"
"85","K22
(12)","GO:0046983","protein dimerization activity",0.583333333333333,"16/546",3.04755995746347e-09,5.02847392981472e-08,4.00994731245193e-08,"852284/851811/852295/851810/852283/852294/854150",7,"K22 (12)","Bayesian",2,"Bayesian: chain 2",22,"MF"
"86","K22
(12)","GO:0003677","DNA binding",0.833333333333333,"92/546",5.90559005075946e-07,6.49614905583541e-06,5.180342149789e-06,"855701/855976/852284/851811/852295/851810/855700/852283/852294/854150",10,"K22 (12)","Bayesian",2,"Bayesian: chain 2",22,"MF"
"87","K22
(12)","GO:0003676","nucleic acid binding",0.833333333333333,"119/546",7.81235320634525e-06,6.44519139523483e-05,5.13970605680608e-05,"855701/855976/852284/851811/852295/851810/855700/852283/852294/854150",10,"K22 (12)","Bayesian",2,"Bayesian: chain 2",22,"MF"
"88","K22
(12)","GO:1901363","heterocyclic compound binding",0.916666666666667,"175/546",2.54059292688904e-05,0.000167679133174677,0.000133715417204687,"851457/855701/855976/852284/851811/852295/851810/855700/852283/852294/854150",11,"K22 (12)","Bayesian",2,"Bayesian: chain 2",22,"MF"
"89","K22
(12)","GO:0005488","binding",0.916666666666667,"281/546",0.00392702179160207,0.0161989648903586,0.0129178348407963,"851457/855701/855976/852284/851811/852295/851810/855700/852283/852294/854150",11,"K22 (12)","Bayesian",2,"Bayesian: chain 2",22,"MF"
"90","K33
(3)","GO:0003924","GTPase activity",0.666666666666667,"10/546",0.0008984539475635,0.00620615218564491,0.00373302387106461,"854938/856753",2,"K33 (3)","Bayesian",2,"Bayesian: chain 2",33,"MF"
"91","K33
(3)","GO:0001883","purine nucleoside binding",0.666666666666667,"13/546",0.00155153804641123,0.00620615218564491,0.00373302387106461,"854938/856753",2,"K33 (3)","Bayesian",2,"Bayesian: chain 2",33,"MF"
"92","K33
(3)","GO:0005525","GTP binding",0.666666666666667,"13/546",0.00155153804641123,0.00620615218564491,0.00373302387106461,"854938/856753",2,"K33 (3)","Bayesian",2,"Bayesian: chain 2",33,"MF"
"93","K33
(3)","GO:0019001","guanyl nucleotide binding",0.666666666666667,"13/546",0.00155153804641123,0.00620615218564491,0.00373302387106461,"854938/856753",2,"K33 (3)","Bayesian",2,"Bayesian: chain 2",33,"MF"
"94","K33
(3)","GO:0032549","ribonucleoside binding",0.666666666666667,"13/546",0.00155153804641123,0.00620615218564491,0.00373302387106461,"854938/856753",2,"K33 (3)","Bayesian",2,"Bayesian: chain 2",33,"MF"
"95","K38
(7)","GO:0003678","DNA helicase activity",0.428571428571429,"10/546",0.000149731789016464,0.00596575448927783,0.00233951156442268,"852501/856680/850980",3,"K38 (7)","Bayesian",2,"Bayesian: chain 2",38,"MF"
"96","K38
(7)","GO:0003688","DNA replication origin binding",0.428571428571429,"13/546",0.000350926734663402,0.00596575448927783,0.00233951156442268,"852501/856680/850980",3,"K38 (7)","Bayesian",2,"Bayesian: chain 2",38,"MF"
"97","K38
(7)","GO:0004386","helicase activity",0.428571428571429,"13/546",0.000350926734663402,0.00596575448927783,0.00233951156442268,"852501/856680/850980",3,"K38 (7)","Bayesian",2,"Bayesian: chain 2",38,"MF"
"98","K38
(7)","GO:0008094","DNA-dependent ATPase activity",0.428571428571429,"15/546",0.000552069150739096,0.00703888167192348,0.00276034575369548,"852501/856680/850980",3,"K38 (7)","Bayesian",2,"Bayesian: chain 2",38,"MF"
"99","K38
(7)","GO:0000166","nucleotide binding",0.714285714285714,"87/546",0.00149246479725557,0.0106131315954516,0.00416201239037316,"851273/852501/851772/856680/850980",5,"K38 (7)","Bayesian",2,"Bayesian: chain 2",38,"MF"
"100","K38
(7)","GO:0140097","catalytic activity, acting on DNA",0.428571428571429,"30/546",0.00452532960986343,0.0199272591073687,0.00781461141465439,"852501/856680/850980",3,"K38 (7)","Bayesian",2,"Bayesian: chain 2",38,"MF"
"101","K38
(7)","GO:0003690","double-stranded DNA binding",0.428571428571429,"44/546",0.013620301908653,0.0277854158936521,0.0108962415269224,"852501/856680/850980",3,"K38 (7)","Bayesian",2,"Bayesian: chain 2",38,"MF"
"102","K7
(15)","GO:0003678","DNA helicase activity",0.333333333333333,"10/546",1.76345384250117e-06,8.64092382825572e-05,2.78440080394921e-05,"852501/852673/852258/856680/850980",5,"K7 (15)","Bayesian",3,"Bayesian: chain 3",7,"MF"
"103","K7
(15)","GO:0003688","DNA replication origin binding",0.333333333333333,"13/546",8.59365744828458e-06,0.000140363071655315,4.52297760436031e-05,"852501/852673/852258/856680/850980",5,"K7 (15)","Bayesian",3,"Bayesian: chain 3",7,"MF"
"104","K7
(15)","GO:0004386","helicase activity",0.333333333333333,"13/546",8.59365744828458e-06,0.000140363071655315,4.52297760436031e-05,"852501/852673/852258/856680/850980",5,"K7 (15)","Bayesian",3,"Bayesian: chain 3",7,"MF"
"105","K7
(15)","GO:0008094","DNA-dependent ATPase activity",0.333333333333333,"15/546",1.94330173071787e-05,0.000238054462012939,7.67092788441263e-05,"852501/852673/852258/856680/850980",5,"K7 (15)","Bayesian",3,"Bayesian: chain 3",7,"MF"
"106","K7
(15)","GO:0003682","chromatin binding",0.4,"29/546",4.74700411153012e-05,0.000465206402929952,0.000149905392995688,"851177/850409/852501/852258/856680/850980",6,"K7 (15)","Bayesian",3,"Bayesian: chain 3",7,"MF"
"107","K7
(15)","GO:0140097","catalytic activity, acting on DNA",0.4,"30/546",5.84638009799845e-05,0.000477454374669874,0.000153852107842065,"854156/852501/852673/852258/856680/850980",6,"K7 (15)","Bayesian",3,"Bayesian: chain 3",7,"MF"
"108","K7
(15)","GO:0003677","DNA binding",0.533333333333333,"92/546",0.00113306313973171,0.00308444965815854,0.000993915034852376,"854156/855067/850409/852501/852673/852258/856680/850980",8,"K7 (15)","Bayesian",3,"Bayesian: chain 3",7,"MF"
