"","N_iter","ARI","Frobenius_norm","K_diff","Simulation","Inference","N_seeds","Model"
"85",10000,0.992806600311225,3.6,-2,12,"Consensus",10,"Consensus (10000, 10)"
"86",1,0.992806600311225,209.733333333333,-2,12,"Consensus",30,"Consensus (1, 30)"
"87",10,0.992806600311225,34.2000000000001,-2,12,"Consensus",30,"Consensus (10, 30)"
"88",100,0.992806600311225,14.4666666666667,-2,12,"Consensus",30,"Consensus (100, 30)"
"89",1000,0.992806600311225,10.2666666666667,-2,12,"Consensus",30,"Consensus (1000, 30)"
"90",10000,0.992806600311225,10.2666666666667,-2,12,"Consensus",30,"Consensus (10000, 30)"
"91",1,0.992806600311225,207.92,-2,12,"Consensus",50,"Consensus (1, 50)"
"92",10,0.992806600311225,35.92,-2,12,"Consensus",50,"Consensus (10, 50)"
"93",100,0.992806600311225,15.52,-2,12,"Consensus",50,"Consensus (100, 50)"
"94",1000,0.992806600311225,13,-2,12,"Consensus",50,"Consensus (1000, 50)"
"95",10000,0.992806600311225,13,-2,12,"Consensus",50,"Consensus (10000, 50)"
"96",1,0.992806600311225,213.9,-2,12,"Consensus",100,"Consensus (1, 100)"
"97",10,0.992806600311225,35.1000000000001,-2,12,"Consensus",100,"Consensus (10, 100)"
"98",100,0.992806600311225,18.7,-2,12,"Consensus",100,"Consensus (100, 100)"
"99",1000,0.992806600311225,15.32,-2,12,"Consensus",100,"Consensus (1000, 100)"
"100",10000,0.992806600311225,14.32,-2,12,"Consensus",100,"Consensus (10000, 100)"
"101",1,0.348529390040329,310,-2,13,"Consensus",1,"Consensus (1, 1)"
"102",10,0.457495694410273,108,-2,13,"Consensus",1,"Consensus (10, 1)"
"103",100,1,0,0,13,"Consensus",1,"Consensus (100, 1)"
"104",1000,1,0,0,13,"Consensus",1,"Consensus (1000, 1)"
"105",10000,1,0,0,13,"Consensus",1,"Consensus (10000, 1)"
"106",1,0.957472660996355,213.8,-2,13,"Consensus",10,"Consensus (1, 10)"
"107",10,1,71.4,0,13,"Consensus",10,"Consensus (10, 10)"
"108",100,1,56.6,0,13,"Consensus",10,"Consensus (100, 10)"
"109",1000,1,52.6,0,13,"Consensus",10,"Consensus (1000, 10)"
"110",10000,1,52.6,0,13,"Consensus",10,"Consensus (10000, 10)"
"111",1,0.960194963444354,204.4,-2,13,"Consensus",30,"Consensus (1, 30)"
"112",10,1,62.2,0,13,"Consensus",30,"Consensus (10, 30)"
"113",100,1,37.6666666666667,0,13,"Consensus",30,"Consensus (100, 30)"
"114",1000,1,33.0666666666667,0,13,"Consensus",30,"Consensus (1000, 30)"
"115",10000,1,28.7333333333333,0,13,"Consensus",30,"Consensus (10000, 30)"
"116",1,0.960194963444354,212.24,-2,13,"Consensus",50,"Consensus (1, 50)"
"117",10,1,62.2,0,13,"Consensus",50,"Consensus (10, 50)"
"118",100,1,38.92,0,13,"Consensus",50,"Consensus (100, 50)"
"119",1000,1,34.96,0,13,"Consensus",50,"Consensus (1000, 50)"
"120",10000,1,32.36,0,13,"Consensus",50,"Consensus (10000, 50)"
"121",1,0.970996868307487,206.2,-2,13,"Consensus",100,"Consensus (1, 100)"
"122",10,1,56.2600000000001,0,13,"Consensus",100,"Consensus (10, 100)"
"123",100,1,33.4400000000001,0,13,"Consensus",100,"Consensus (100, 100)"
"124",1000,1,28.9200000000001,0,13,"Consensus",100,"Consensus (1000, 100)"
"125",10000,1,27.6200000000001,0,13,"Consensus",100,"Consensus (10000, 100)"
"126",1,0.174029224648625,192,-2,14,"Consensus",1,"Consensus (1, 1)"
"127",10,0.798820543445805,54,-2,14,"Consensus",1,"Consensus (10, 1)"
"128",100,1,0,0,14,"Consensus",1,"Consensus (100, 1)"
"129",1000,1,0,0,14,"Consensus",1,"Consensus (1000, 1)"
"130",10000,1,0,0,14,"Consensus",1,"Consensus (10000, 1)"
"131",1,0.967483741870935,210,-2,14,"Consensus",10,"Consensus (1, 10)"
"132",10,1,41.8,0,14,"Consensus",10,"Consensus (10, 10)"
