"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"82","K40
(10)","GO:0030863","cortical cytoskeleton",0.3,"11/550",0.000664504664065574,0.045186317156459,0.0398702798439345,"854953/855948/856418",3,"K40 (10)","Consensus clustering",NA,"Consensus Clustering",40,"CC"
"83","K47
(19)","GO:0030684","preribosome",0.578947368421053,"16/550",9.7663390433391e-15,2.44158476083478e-13,1.43924996428155e-13,"854221/852569/853048/853956/850689/856553/855408/851208/856228/851403/851656",11,"K47 (19)","Consensus clustering",NA,"Consensus Clustering",47,"CC"
"84","K47
(19)","GO:1990904","ribonucleoprotein complex",0.578947368421053,"20/550",3.55306925935769e-13,4.44133657419711e-12,2.61805103321093e-12,"854221/852569/853048/853956/850689/856553/855408/851208/856228/851403/851656",11,"K47 (19)","Consensus clustering",NA,"Consensus Clustering",47,"CC"
"85","K47
(19)","GO:0005730","nucleolus",0.631578947368421,"31/550",3.97336987345011e-12,3.31114156120843e-11,1.95183081502812e-11,"854221/853048/853784/853956/856553/855408/850982/854021/851208/856228/851403/851656",12,"K47 (19)","Consensus clustering",NA,"Consensus Clustering",47,"CC"
"86","K47
(19)","GO:0031981","nuclear lumen",0.631578947368421,"142/550",0.000529086519870991,0.00330679074919369,0.00194926612584049,"854221/853048/853784/853956/856553/855408/850982/854021/851208/856228/851403/851656",12,"K47 (19)","Consensus clustering",NA,"Consensus Clustering",47,"CC"
"87","K47
(19)","GO:0005634","nucleus",0.894736842105263,"295/550",0.000890198568758242,0.00406896590117917,0.00239854832069509,"854221/853048/853784/855571/851497/853956/850689/856553/855581/855408/850982/854021/851208/856228/851403/851656/852076",17,"K47 (19)","Consensus clustering",NA,"Consensus Clustering",47,"CC"
"88","K47
(19)","GO:0031974","membrane-enclosed lumen",0.631578947368421,"157/550",0.0014648277244245,0.00406896590117917,0.00239854832069509,"854221/853048/853784/853956/856553/855408/850982/854021/851208/856228/851403/851656",12,"K47 (19)","Consensus clustering",NA,"Consensus Clustering",47,"CC"
"89","K47
(19)","GO:0043233","organelle lumen",0.631578947368421,"157/550",0.0014648277244245,0.00406896590117917,0.00239854832069509,"854221/853048/853784/853956/856553/855408/850982/854021/851208/856228/851403/851656",12,"K47 (19)","Consensus clustering",NA,"Consensus Clustering",47,"CC"
"90","K47
(19)","GO:0043228","non-membrane-bounded organelle",0.684210526315789,"219/550",0.00992211087626603,0.0225502519915137,0.0132927801213133,"854221/852569/853048/853784/853956/856553/855408/850982/854021/851208/856228/851403/851656",13,"K47 (19)","Consensus clustering",NA,"Consensus Clustering",47,"CC"
"91","K47
(19)","GO:0043232","intracellular non-membrane-bounded organelle",0.684210526315789,"219/550",0.00992211087626603,0.0225502519915137,0.0132927801213133,"854221/852569/853048/853784/853956/856553/855408/850982/854021/851208/856228/851403/851656",13,"K47 (19)","Consensus clustering",NA,"Consensus Clustering",47,"CC"
"92","K52
(5)","GO:0030684","preribosome",0.6,"16/550",0.000195884439397032,0.00391768878794064,0.00247432976080462,"851240/850551/855613",3,"K52 (5)","Consensus clustering",NA,"Consensus Clustering",52,"CC"
"93","K52
(5)","GO:1990904","ribonucleoprotein complex",0.6,"20/550",0.000394326844189126,0.00394326844189126,0.00249048533172079,"851240/850551/855613",3,"K52 (5)","Consensus clustering",NA,"Consensus Clustering",52,"CC"
"94","K52
(5)","GO:0005730","nucleolus",0.6,"31/550",0.00150724298497821,0.00603324948371488,0.00381047335813571,"851240/850551/855613",3,"K52 (5)","Consensus clustering",NA,"Consensus Clustering",52,"CC"
"95","K52
(5)","GO:0031974","membrane-enclosed lumen",1,"157/550",0.00180997484511446,0.00603324948371488,0.00381047335813571,"851240/850551/855613/851903/852104",5,"K52 (5)","Consensus clustering",NA,"Consensus Clustering",52,"CC"
"96","K52
(5)","GO:0043233","organelle lumen",1,"157/550",0.00180997484511446,0.00603324948371488,0.00381047335813571,"851240/850551/855613/851903/852104",5,"K52 (5)","Consensus clustering",NA,"Consensus Clustering",52,"CC"
"97","K52
(5)","GO:0031981","nuclear lumen",0.8,"142/550",0.0171716728933648,0.0490619225524708,0.0309864774015605,"851240/850551/855613/851903",4,"K52 (5)","Consensus clustering",NA,"Consensus Clustering",52,"CC"
"98","K53
(9)","GO:0005654","nucleoplasm",0.444444444444444,"25/550",0.000361476973896465,0.0173508947470303,0.0167420914225731,"852501/850980/853650/853244",4,"K53 (9)","Consensus clustering",NA,"Consensus Clustering",53,"CC"
