"","N_iter","ARI","Frobenius_norm","K_diff","Simulation","Inference","N_seeds","Model"
"251",1,0.404661831735389,9730,-12,19,"Consensus",1,"Consensus (1, 1)"
"252",10,0.864865104776479,2448,-1,19,"Consensus",1,"Consensus (10, 1)"
"2531",100,1,0,0,19,"Consensus",1,"Consensus (100, 1)"
"254",1000,1,0,0,19,"Consensus",1,"Consensus (1000, 1)"
"255",10000,1,0,0,19,"Consensus",1,"Consensus (10000, 1)"
"256",1,0.333811620952919,11199.6,-15,19,"Consensus",10,"Consensus (1, 10)"
"257",10,1,2449.8,0,19,"Consensus",10,"Consensus (10, 10)"
"258",100,1,22.6,0,19,"Consensus",10,"Consensus (100, 10)"
"259",1000,1,33,0,19,"Consensus",10,"Consensus (1000, 10)"
"260",10000,1,0,0,19,"Consensus",10,"Consensus (10000, 10)"
"261",1,0.516248671646351,10845.8,-20,19,"Consensus",30,"Consensus (1, 30)"
"262",10,1,2347,0,19,"Consensus",30,"Consensus (10, 30)"
"263",100,1,23.4666666666667,0,19,"Consensus",30,"Consensus (100, 30)"
"264",1000,1,39.5333333333334,0,19,"Consensus",30,"Consensus (1000, 30)"
"265",10000,1,45.2000000000001,0,19,"Consensus",30,"Consensus (10000, 30)"
"266",1,0.589226921149973,10821.48,-20,19,"Consensus",50,"Consensus (1, 50)"
"267",10,1,2279.6,0,19,"Consensus",50,"Consensus (10, 50)"
"268",100,1,39.6,0,19,"Consensus",50,"Consensus (100, 50)"
"269",1000,1,43.2399999999999,0,19,"Consensus",50,"Consensus (1000, 50)"
"270",10000,1,38.4000000000001,0,19,"Consensus",50,"Consensus (10000, 50)"
"271",1,0.599554903123095,10751.42,-20,19,"Consensus",100,"Consensus (1, 100)"
"272",10,1,2420.18,0,19,"Consensus",100,"Consensus (10, 100)"
"273",100,1,39.3600000000001,0,19,"Consensus",100,"Consensus (100, 100)"
"274",1000,1,36.9,0,19,"Consensus",100,"Consensus (1000, 100)"
