,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
YGL037C,0.677600,0.087600,0.287600,-0.062400,0.047600,-0.332400,-0.272400,-0.572400,-0.322400,-0.582400,-0.202400,-0.512400,-0.112400,-0.082400,-0.052400,-0.002400,-0.142400,-0.242400,0.067600,-0.172400,-0.272400,-0.162400,-0.052400,0.017600,0.177600,0.347600,0.327600,0.357600,0.037600,0.267600,-0.102400,-0.212400,-0.012400,0.437600,0.137600,0.297600,0.107600,0.237600,0.047600,0.237600,0.277600
YGR238C,0.147800,0.757800,0.397800,0.387800,-0.082200,-0.262200,-0.442200,-0.302200,-0.522200,-0.192200,-0.212200,0.027800,0.137800,0.267800,0.317800,-0.082200,-0.002200,-0.422200,-0.202200,-0.382200,-0.352200,-0.122200,-0.112200,0.007800,-0.012200,-0.102200,0.177800,0.217800,0.107800,-0.102200,-0.092200,-0.222200,-0.052200,-0.092200,-0.052200,0.247800,0.117800,0.357800,0.227800,0.397800,0.117800
YJL196C,-0.041200,-0.091200,-0.171200,-0.261200,-0.301200,-0.721200,-0.561200,-0.311200,0.028800,-0.411200,0.068800,0.098800,0.538800,0.368800,0.578800,0.148800,-0.131200,-0.541200,0.168800,-0.291200,-0.121200,-0.101200,0.068800,-0.041200,0.148800,0.168800,0.428800,0.378800,0.098800,0.068800,-0.251200,-0.431200,0.118800,0.118800,0.018800,0.208800,-0.001200,0.268800,0.188800,0.358800,0.138800
YJR043C,0.102700,0.502700,0.432700,0.252700,-0.077300,-0.367300,-0.417300,-0.137300,-0.157300,0.092700,0.122700,0.262700,0.572700,0.532700,0.502700,0.082700,-0.027300,-0.477300,-0.287300,-0.197300,-0.387300,-0.147300,-0.197300,0.122700,-0.017300,-0.057300,0.042700,0.242700,-0.027300,-0.077300,-0.297300,-0.167300,-0.317300,0.022700,-0.317300,0.192700,-0.137300,0.312700,-0.107300,0.212700,-0.207300
YNL274C,0.219800,0.229800,0.169800,0.029800,-0.220200,-0.460200,-0.690200,-0.660200,-0.530200,-0.690200,-0.450200,-0.450200,-0.060200,0.119800,0.159800,0.099800,-0.000200,-0.540200,-0.040200,-0.450200,-0.370200,-0.060200,-0.220200,-0.080200,-0.060200,0.209800,0.479800,0.439800,0.649800,0.189800,0.169800,-0.230200,0.139800,0.269800,0.119800,0.169800,0.319800,0.369800,0.509800,0.809800,0.389800
YPL014W,0.913400,0.863400,0.203400,-0.216600,-0.726600,-0.946600,-1.216600,-1.076600,-1.286600,-0.806600,-0.556600,0.173400,0.683400,0.883400,0.763400,0.253400,0.043400,-0.536600,-0.346600,-0.496600,-0.636600,-0.576600,-0.276600,0.103400,0.443400,0.423400,0.623400,0.623400,0.463400,0.063400,0.093400,-0.246600,-0.076600,-0.156600,-0.186600,0.403400,0.273400,0.603400,0.513400,0.523400,0.433400
YBL010C,0.203900,0.333900,0.183900,0.183900,-0.066100,-0.426100,-0.356100,-0.296100,-0.246100,-0.246100,-0.036100,0.103900,0.563900,0.403900,0.473900,0.053900,-0.166100,-0.446100,-0.166100,-0.106100,-0.466100,-0.086100,-0.136100,-0.026100,-0.096100,0.133900,0.273900,0.333900,-0.026100,-0.156100,-0.226100,-0.166100,-0.056100,0.113900,-0.146100,0.203900,-0.056100,0.333900,0.023900,0.353900,-0.076100
YDL105W,0.119300,0.689300,0.329300,0.329300,-0.010700,-0.360700,-0.390700,-0.490700,-0.510700,-0.290700,0.069300,0.409300,0.659300,0.589300,0.579300,0.149300,0.149300,-0.450700,-0.250700,-0.230700,-0.370700,-0.310700,-0.230700,0.019300,0.009300,0.019300,0.209300,0.229300,0.199300,-0.090700,-0.150700,-0.310700,-0.160700,-0.240700,-0.370700,0.149300,-0.130700,0.239300,-0.020700,0.279300,-0.050700
YFR027W,0.718500,0.978500,0.688500,0.288500,-0.091500,-0.551500,-0.641500,-0.671500,-0.651500,-0.311500,0.128500,0.448500,0.948500,0.828500,0.758500,0.248500,0.108500,-0.421500,-0.361500,-0.361500,-0.611500,-0.471500,-0.391500,0.068500,0.088500,0.228500,0.388500,0.418500,-0.051500,-0.001500,-0.331500,-0.271500,-0.501500,-0.171500,-0.471500,-0.201500,-0.231500,0.158500,-0.111500,0.278500,0.108500
YGL207W,-0.162400,0.417600,0.137600,0.347600,-0.122400,-0.412400,-0.692400,-0.322400,-0.302400,-0.312400,-0.232400,0.047600,0.307600,0.317600,0.447600,0.147600,0.087600,-0.562400,0.057600,-0.242400,-0.162400,-0.022400,0.067600,0.097600,0.057600,0.117600,0.277600,0.367600,0.237600,-0.042400,-0.132400,-0.442400,0.087600,-0.122400,-0.072400,0.137600,-0.012400,0.167600,0.137600,0.317600,-0.012400
YGR041W,-0.188000,0.372000,-0.368000,-0.358000,-0.928000,-1.308000,-1.798000,-1.588000,-1.908000,-1.398000,-0.588000,0.582000,1.182000,1.312000,1.122000,0.632000,0.332000,-0.358000,-0.188000,-0.798000,-0.908000,-0.988000,-0.378000,0.192000,0.722000,0.872000,1.112000,1.132000,0.872000,0.372000,0.312000,-0.288000,-0.008000,-0.328000,-0.328000,0.282000,0.352000,0.802000,0.842000,0.912000,0.692000
